fecha,producto,categoria,cantidad,precio_unitario,total_venta,cliente
2024-06-14,Laptop Dell XPS,Componentes,3,794.11,2382.33,Empresa A
2024-08-20,Cargador USB-C,Redes,18,424.99,7649.82,Empresa B
2024-01-28,Micrófono Condensador,Accesorios,14,654.59,9164.26,Empresa A
2024-07-04,Memoria RAM 16GB,Energía,5,266.95,1334.75,Freelancer
2024-09-01,Base Refrigerante,Accesorios,18,185.59,3340.62,Empresa B
2024-05-10,Escritorio Gamer,Software,15,265.78,3986.7,Empresa A
2024-06-12,Hub USB 3.0,Monitores,3,313.26,939.78,Distribuidor D
2024-07-08,Mouse Inalámbrico,Componentes,20,406.82,8136.4,Startup C
2024-10-04,Silla Ergonómica,Audio & Video,10,335.1,3351.0,Startup C
2024-06-10,Panel de Control Stream Deck,Componentes,20,633.25,12665.0,Freelancer
2024-08-17,Monitor 27'' 4K,Almacenamiento,18,207.89,3742.02,Startup C
2024-11-17,Mochila para Laptop,Software,8,481.51,3852.08,Freelancer
2024-03-17,Procesador AMD Ryzen 9,Software,1,655.51,655.51,Empresa B
2024-01-08,Silla Ergonómica,Monitores,11,63.17,694.87,Freelancer
2024-09-24,Audífonos Bluetooth,Accesorios,10,79.52,795.2,Startup C
2024-08-25,Base Refrigerante,Software,7,474.25,3319.75,Freelancer
2024-04-20,Monitor 27'' 4K,Almacenamiento,12,333.85,4006.2,Distribuidor D
2024-09-12,Placa de Video RTX 3060,Almacenamiento,15,972.01,14580.15,Distribuidor D
2024-08-28,Cargador USB-C,Periféricos,3,639.62,1918.86,Empresa B
2024-08-28,Mochila para Laptop,Periféricos,14,578.94,8105.16,Startup C
2024-12-13,Mochila para Laptop,Energía,10,213.67,2136.7,Distribuidor D
2024-04-04,Silla Ergonómica,Mobiliario,4,943.15,3772.6,Empresa A
2024-09-11,Impresora Láser,Accesorios,8,295.79,2366.32,Empresa A
2024-06-09,Impresora Láser,Almacenamiento,6,292.21,1753.26,Empresa A
2024-09-21,Licencia Visual Studio,Monitores,3,53.95,161.85,Empresa A
2024-02-28,Lámpara LED,Software,1,215.38,215.38,Empresa B
2024-07-12,Tablet Samsung,Componentes,17,29.33,498.61,Startup C
2024-02-10,Teclado Mecánico,Software,18,111.66,2009.88,Empresa B
2024-02-19,SSD NVMe 1TB,Componentes,13,859.52,11173.76,Empresa A
2024-11-11,Mochila para Laptop,Periféricos,9,109.72,987.48,Empresa B
2024-05-12,Audífonos Bluetooth,Software,11,537.27,5909.97,Freelancer
2024-05-04,Impresora Láser,Redes,9,337.78,3040.02,Empresa A
2024-10-02,Router WiFi 6,Audio & Video,8,939.05,7512.4,Empresa A
2024-10-06,SSD NVMe 1TB,Monitores,3,168.64,505.92,Distribuidor D
2024-08-12,Soporte para Monitor,Componentes,7,252.3,1766.1,Distribuidor D
2024-08-26,Fuente 750W Modular,Mobiliario,10,539.14,5391.4,Distribuidor D
2024-04-27,Escritorio Gamer,Periféricos,19,183.19,3480.61,Distribuidor D
2024-09-21,Cámara Web HD,Mobiliario,9,199.26,1793.34,Freelancer
2024-06-03,Fuente 750W Modular,Software,19,328.95,6250.05,Empresa A
2024-11-19,Router WiFi 6,Energía,11,142.75,1570.25,Distribuidor D
2024-12-15,Base Refrigerante,Energía,3,135.94,407.82,Distribuidor D
2024-01-03,Router WiFi 6,Almacenamiento,19,212.93,4045.67,Startup C
2024-08-22,Laptop Dell XPS,Mobiliario,3,798.12,2394.36,Freelancer
2024-09-16,Silla Ergonómica,Redes,7,133.59,935.13,Startup C
2024-10-20,Silla Ergonómica,Software,6,240.14,1440.84,Startup C
2024-10-11,Placa de Video RTX 3060,Redes,7,476.24,3333.68,Startup C
2024-03-19,Router WiFi 6,Almacenamiento,18,800.47,14408.46,Empresa B
2024-09-24,Mochila para Laptop,Periféricos,6,361.99,2171.94,Startup C
2024-02-11,Soporte para Monitor,Periféricos,19,112.99,2146.81,Freelancer
2024-04-20,Procesador AMD Ryzen 9,Software,3,167.1,501.3,Startup C
2024-11-10,Mouse Inalámbrico,Componentes,11,850.24,9352.64,Startup C
2024-04-12,Cámara Web HD,Almacenamiento,8,346.56,2772.48,Empresa A
2024-10-27,Micrófono Condensador,Monitores,4,47.76,191.04,Freelancer
2024-01-20,Fuente 750W Modular,Componentes,14,54.41,761.74,Startup C
2024-09-21,Base Refrigerante,Redes,17,438.89,7461.13,Startup C
2024-09-04,Router WiFi 6,Monitores,4,438.06,1752.24,Empresa A
2024-01-13,Cámara Web HD,Energía,4,807.09,3228.36,Startup C
2024-11-26,Micrófono Condensador,Componentes,5,811.08,4055.4,Distribuidor D
2024-12-06,Micrófono Condensador,Software,15,103.65,1554.75,Empresa B
2024-03-22,Teclado Mecánico,Energía,12,806.14,9673.68,Distribuidor D
2024-01-19,Teclado Mecánico,Monitores,8,435.3,3482.4,Empresa B
2024-03-09,Router WiFi 6,Software,11,345.61,3801.71,Freelancer
2024-02-12,Impresora Láser,Redes,5,302.77,1513.85,Freelancer
2024-01-19,Impresora Láser,Redes,5,858.76,4293.8,Startup C
2024-04-12,Memoria RAM 16GB,Mobiliario,8,801.88,6415.04,Empresa A
2024-01-18,Mouse Inalámbrico,Redes,1,563.53,563.53,Freelancer
2024-05-25,Silla Ergonómica,Almacenamiento,15,614.86,9222.9,Distribuidor D
2024-08-24,Cargador USB-C,Mobiliario,17,154.99,2634.83,Startup C
2024-09-27,Monitor 27'' 4K,Energía,17,318.21,5409.57,Empresa A
2024-09-06,Procesador AMD Ryzen 9,Almacenamiento,1,786.32,786.32,Empresa A
2024-06-22,Base Refrigerante,Componentes,7,348.94,2442.58,Empresa B
2024-05-07,Hub USB 3.0,Software,11,802.75,8830.25,Freelancer
2024-05-13,Monitor 27'' 4K,Redes,15,293.18,4397.7,Startup C
2024-11-09,Mochila para Laptop,Redes,7,991.97,6943.79,Empresa B
2024-11-20,Placa de Video RTX 3060,Monitores,14,845.01,11830.14,Freelancer
2024-02-26,Monitor 27'' 4K,Audio & Video,18,226.03,4068.54,Empresa A
2024-08-16,Laptop Dell XPS,Periféricos,8,399.67,3197.36,Distribuidor D
2024-07-24,Procesador AMD Ryzen 9,Audio & Video,12,882.86,10594.32,Distribuidor D
2024-08-14,Panel de Control Stream Deck,Software,7,324.41,2270.87,Freelancer
2024-06-25,Escritorio Gamer,Monitores,8,759.8,6078.4,Freelancer
2024-07-22,Licencia Visual Studio,Audio & Video,4,669.77,2679.08,Freelancer
2024-10-08,SSD NVMe 1TB,Redes,3,408.39,1225.17,Empresa A
2024-06-27,Audífonos Bluetooth,Monitores,1,389.36,389.36,Startup C
2024-07-08,Procesador AMD Ryzen 9,Energía,14,142.26,1991.64,Empresa A
2024-02-05,Escritorio Gamer,Periféricos,18,807.66,14537.88,Startup C
2024-08-02,Placa de Video RTX 3060,Mobiliario,7,454.5,3181.5,Startup C
2024-04-16,Audífonos Bluetooth,Accesorios,7,901.44,6310.08,Empresa A
2024-05-12,SSD NVMe 1TB,Accesorios,5,442.41,2212.05,Empresa A
2024-10-03,Laptop Dell XPS,Monitores,20,881.29,17625.8,Freelancer
2024-09-07,Mouse Inalámbrico,Periféricos,6,52.89,317.34,Empresa B
2024-05-19,Cargador USB-C,Almacenamiento,10,752.67,7526.7,Empresa B
2024-06-09,Panel de Control Stream Deck,Redes,9,722.11,6498.99,Empresa A
2024-02-10,Tablet Samsung,Almacenamiento,4,970.01,3880.04,Empresa B
2024-08-03,Audífonos Bluetooth,Componentes,8,816.35,6530.8,Startup C
2024-09-14,Silla Ergonómica,Audio & Video,5,228.0,1140.0,Empresa A
2024-11-04,Laptop Dell XPS,Software,19,893.49,16976.31,Distribuidor D
2024-10-22,Micrófono Condensador,Redes,16,125.09,2001.44,Empresa A
2024-01-27,Lámpara LED,Software,5,216.65,1083.25,Freelancer
2024-08-03,Lámpara LED,Accesorios,11,139.22,1531.42,Empresa B
2024-01-02,Micrófono Condensador,Energía,17,703.31,11956.27,Empresa A
2024-01-19,Router WiFi 6,Componentes,6,641.53,3849.18,Empresa B
2024-12-07,Fuente 750W Modular,Componentes,19,914.82,17381.58,Empresa B
2024-08-12,Impresora Láser,Monitores,5,668.06,3340.3,Distribuidor D
2024-10-21,Tablet Samsung,Mobiliario,9,315.47,2839.23,Empresa B
2024-04-01,Licencia Visual Studio,Componentes,14,87.0,1218.0,Empresa A
2024-06-13,Router WiFi 6,Mobiliario,6,440.09,2640.54,Freelancer
2024-08-26,Silla Ergonómica,Energía,15,484.15,7262.25,Distribuidor D
2024-05-22,Laptop Dell XPS,Monitores,6,387.6,2325.6,Distribuidor D
2024-07-12,Lámpara LED,Accesorios,2,150.79,301.58,Empresa A
2024-08-14,SSD NVMe 1TB,Redes,6,525.98,3155.88,Distribuidor D
2024-05-15,Laptop Dell XPS,Mobiliario,10,335.39,3353.9,Distribuidor D
2024-12-18,Base Refrigerante,Redes,2,306.1,612.2,Freelancer
2024-04-13,Cámara Web HD,Componentes,7,450.59,3154.13,Empresa B
2024-01-14,Cámara Web HD,Componentes,13,20.96,272.48,Empresa B
2024-02-25,Hub USB 3.0,Software,20,160.82,3216.4,Freelancer
2024-06-06,Impresora Láser,Monitores,9,635.18,5716.62,Freelancer
2024-01-20,Fuente 750W Modular,Periféricos,17,642.41,10920.97,Distribuidor D
2024-04-14,Audífonos Bluetooth,Monitores,7,911.56,6380.92,Empresa A
2024-04-18,Laptop Dell XPS,Periféricos,17,845.33,14370.61,Freelancer
2024-04-23,Fuente 750W Modular,Audio & Video,5,975.49,4877.45,Distribuidor D
2024-06-13,Router WiFi 6,Monitores,12,324.24,3890.88,Distribuidor D
2024-02-25,Mouse Inalámbrico,Monitores,8,856.85,6854.8,Empresa B
2024-01-07,Fuente 750W Modular,Monitores,2,897.43,1794.86,Freelancer
2024-05-08,Memoria RAM 16GB,Energía,1,889.03,889.03,Empresa A
2024-05-04,Cámara Web HD,Energía,18,830.26,14944.68,Distribuidor D
2024-11-09,Laptop Dell XPS,Componentes,14,960.66,13449.24,Distribuidor D
2024-11-22,Micrófono Condensador,Energía,20,127.47,2549.4,Freelancer
2024-08-24,Tablet Samsung,Software,16,371.42,5942.72,Distribuidor D
2024-03-20,Silla Ergonómica,Mobiliario,14,513.8,7193.2,Freelancer
2024-02-25,Micrófono Condensador,Mobiliario,5,537.27,2686.35,Empresa B
2024-10-12,Audífonos Bluetooth,Almacenamiento,8,77.76,622.08,Empresa B
2024-10-15,Memoria RAM 16GB,Software,18,909.16,16364.88,Distribuidor D
2024-08-02,Teclado Mecánico,Accesorios,13,101.51,1319.63,Empresa B
2024-06-18,Router WiFi 6,Componentes,4,835.1,3340.4,Startup C
2024-06-15,Escritorio Gamer,Redes,13,15.45,200.85,Empresa A
2024-04-12,Mouse Inalámbrico,Redes,17,226.82,3855.94,Startup C
2024-03-24,Router WiFi 6,Mobiliario,13,31.46,408.98,Startup C
2024-12-24,SSD NVMe 1TB,Software,4,271.17,1084.68,Empresa B
2024-02-12,Base Refrigerante,Mobiliario,2,645.94,1291.88,Distribuidor D
2024-12-06,Micrófono Condensador,Audio & Video,7,178.91,1252.37,Empresa B
2024-02-08,Hub USB 3.0,Periféricos,17,661.09,11238.53,Startup C
2024-03-12,Panel de Control Stream Deck,Periféricos,18,738.65,13295.7,Empresa B
2024-08-10,Fuente 750W Modular,Componentes,18,434.43,7819.74,Startup C
2024-02-23,Memoria RAM 16GB,Periféricos,9,599.45,5395.05,Empresa B
2024-02-16,Silla Ergonómica,Energía,9,78.33,704.97,Empresa B
2024-08-12,Silla Ergonómica,Almacenamiento,6,63.34,380.04,Empresa A
2024-06-26,Mochila para Laptop,Componentes,15,842.52,12637.8,Empresa A
2024-08-09,Procesador AMD Ryzen 9,Redes,17,715.56,12164.52,Freelancer
2024-10-17,Silla Ergonómica,Redes,10,337.48,3374.8,Empresa A
2024-01-17,Soporte para Monitor,Mobiliario,9,504.46,4540.14,Empresa B
2024-03-28,Mouse Inalámbrico,Energía,7,955.26,6686.82,Freelancer
2024-10-26,Placa de Video RTX 3060,Audio & Video,7,452.28,3165.96,Empresa B
2024-01-13,Memoria RAM 16GB,Software,13,415.33,5399.29,Empresa A
2024-07-01,Laptop Dell XPS,Software,11,515.79,5673.69,Freelancer
2024-10-10,Cámara Web HD,Software,9,845.72,7611.48,Freelancer
2024-02-24,Mouse Inalámbrico,Accesorios,1,882.5,882.5,Freelancer
2024-04-12,Impresora Láser,Software,17,868.51,14764.67,Distribuidor D
2024-03-12,SSD NVMe 1TB,Almacenamiento,4,874.58,3498.32,Distribuidor D
2024-10-12,Base Refrigerante,Software,1,112.36,112.36,Empresa A
2024-12-24,Soporte para Monitor,Mobiliario,12,82.81,993.72,Empresa A
2024-06-13,Licencia Visual Studio,Audio & Video,15,344.52,5167.8,Freelancer
2024-10-01,Silla Ergonómica,Software,12,704.47,8453.64,Freelancer
2024-11-24,Micrófono Condensador,Componentes,15,180.97,2714.55,Distribuidor D
2024-02-25,SSD NVMe 1TB,Software,17,592.47,10071.99,Distribuidor D
2024-04-27,Escritorio Gamer,Componentes,20,884.64,17692.8,Empresa A
2024-09-04,Placa de Video RTX 3060,Energía,13,477.95,6213.35,Empresa B
2024-04-10,Fuente 750W Modular,Periféricos,9,208.56,1877.04,Freelancer
2024-05-25,Licencia Visual Studio,Periféricos,8,128.69,1029.52,Startup C
2024-07-01,Memoria RAM 16GB,Redes,13,722.35,9390.55,Distribuidor D
2024-12-11,Audífonos Bluetooth,Periféricos,1,897.23,897.23,Distribuidor D
2024-04-14,Monitor 27'' 4K,Componentes,2,691.92,1383.84,Startup C
2024-09-13,Memoria RAM 16GB,Monitores,5,897.16,4485.8,Freelancer
2024-03-17,Base Refrigerante,Mobiliario,18,140.39,2527.02,Freelancer
2024-08-06,Placa de Video RTX 3060,Componentes,13,822.92,10697.96,Distribuidor D
2024-01-28,Memoria RAM 16GB,Periféricos,4,922.21,3688.84,Distribuidor D
2024-04-01,Monitor 27'' 4K,Redes,15,213.49,3202.35,Empresa A
2024-09-27,Licencia Visual Studio,Audio & Video,3,940.92,2822.76,Startup C
2024-11-15,Base Refrigerante,Almacenamiento,18,698.88,12579.84,Freelancer
2024-05-06,SSD NVMe 1TB,Accesorios,8,501.31,4010.48,Distribuidor D
2024-02-15,Cargador USB-C,Monitores,4,475.39,1901.56,Distribuidor D
2024-04-28,SSD NVMe 1TB,Accesorios,2,266.88,533.76,Freelancer
2024-04-24,Monitor 27'' 4K,Componentes,20,668.89,13377.8,Empresa B
2024-11-12,Hub USB 3.0,Periféricos,5,322.8,1614.0,Empresa B
2024-02-27,Mouse Inalámbrico,Software,19,790.5,15019.5,Freelancer
2024-01-20,Cámara Web HD,Accesorios,4,401.06,1604.24,Empresa B
2024-02-27,Silla Ergonómica,Componentes,8,624.23,4993.84,Distribuidor D
2024-12-28,Procesador AMD Ryzen 9,Redes,5,16.3,81.5,Startup C
2024-10-25,Mouse Inalámbrico,Monitores,11,371.89,4090.79,Empresa A
2024-06-24,Laptop Dell XPS,Monitores,10,458.79,4587.9,Distribuidor D
2024-05-01,Placa de Video RTX 3060,Almacenamiento,2,227.97,455.94,Freelancer
2024-04-08,Monitor 27'' 4K,Almacenamiento,1,570.63,570.63,Empresa B
2024-06-16,Laptop Dell XPS,Almacenamiento,18,710.54,12789.72,Freelancer
2024-01-07,Micrófono Condensador,Audio & Video,4,871.31,3485.24,Empresa A
2024-11-27,Panel de Control Stream Deck,Monitores,7,443.98,3107.86,Freelancer
2024-11-19,Tablet Samsung,Redes,1,523.67,523.67,Freelancer
2024-05-17,Cargador USB-C,Mobiliario,9,696.24,6266.16,Startup C
2024-01-22,Lámpara LED,Software,11,707.39,7781.29,Freelancer
2024-05-21,Cámara Web HD,Software,7,678.83,4751.81,Distribuidor D
2024-06-03,SSD NVMe 1TB,Software,15,846.63,12699.45,Distribuidor D
2024-01-27,Memoria RAM 16GB,Mobiliario,2,406.24,812.48,Freelancer
2024-04-19,Laptop Dell XPS,Redes,18,172.1,3097.8,Empresa B
2024-06-09,SSD NVMe 1TB,Software,3,447.34,1342.02,Empresa A
2024-05-24,Procesador AMD Ryzen 9,Monitores,3,325.99,977.97,Empresa A
2024-09-10,Laptop Dell XPS,Audio & Video,10,323.51,3235.1,Freelancer
2024-01-11,Escritorio Gamer,Accesorios,13,21.11,274.43,Freelancer
2024-07-03,Silla Ergonómica,Software,16,260.76,4172.16,Empresa B
2024-05-20,Impresora Láser,Componentes,15,233.76,3506.4,Empresa A
2024-09-12,SSD NVMe 1TB,Componentes,13,645.66,8393.58,Distribuidor D
2024-01-07,Lámpara LED,Accesorios,3,855.16,2565.48,Distribuidor D
2024-11-28,Hub USB 3.0,Audio & Video,6,328.89,1973.34,Empresa A
2024-12-01,Hub USB 3.0,Redes,2,235.4,470.8,Freelancer
2024-04-08,Impresora Láser,Periféricos,8,537.72,4301.76,Freelancer
2024-03-15,Memoria RAM 16GB,Audio & Video,18,682.61,12286.98,Startup C
2024-01-10,Soporte para Monitor,Audio & Video,6,524.78,3148.68,Empresa B
2024-11-23,Memoria RAM 16GB,Almacenamiento,5,881.97,4409.85,Empresa A
2024-08-08,Procesador AMD Ryzen 9,Almacenamiento,13,265.58,3452.54,Empresa A
2024-01-21,Placa de Video RTX 3060,Componentes,17,965.29,16409.93,Distribuidor D
2024-04-09,Teclado Mecánico,Monitores,17,616.58,10481.86,Distribuidor D
2024-07-27,Audífonos Bluetooth,Redes,20,816.17,16323.4,Freelancer
2024-12-05,SSD NVMe 1TB,Redes,19,763.37,14504.03,Freelancer
2024-11-21,Cámara Web HD,Accesorios,12,53.11,637.32,Empresa B
2024-09-13,Silla Ergonómica,Redes,6,543.91,3263.46,Startup C
2024-08-01,Teclado Mecánico,Periféricos,8,778.91,6231.28,Freelancer
2024-12-25,Memoria RAM 16GB,Periféricos,9,427.2,3844.8,Freelancer
2024-08-10,Panel de Control Stream Deck,Mobiliario,6,286.64,1719.84,Empresa B
2024-11-23,Monitor 27'' 4K,Mobiliario,3,149.13,447.39,Startup C
2024-07-27,Silla Ergonómica,Audio & Video,15,898.58,13478.7,Freelancer
2024-02-12,Cargador USB-C,Mobiliario,4,62.6,250.4,Empresa A
2024-03-09,Cargador USB-C,Accesorios,8,433.67,3469.36,Empresa A
2024-11-22,Base Refrigerante,Redes,1,114.77,114.77,Startup C
2024-12-22,Tablet Samsung,Componentes,9,675.26,6077.34,Empresa B
2024-12-09,Base Refrigerante,Redes,7,313.18,2192.26,Distribuidor D
2024-03-08,SSD NVMe 1TB,Energía,14,46.3,648.2,Freelancer
2024-01-19,Audífonos Bluetooth,Accesorios,8,613.45,4907.6,Distribuidor D
2024-04-12,Lámpara LED,Redes,8,868.08,6944.64,Empresa A
2024-07-03,Tablet Samsung,Audio & Video,2,220.01,440.02,Empresa A
2024-06-23,Mochila para Laptop,Audio & Video,18,806.62,14519.16,Empresa B
2024-02-17,Cámara Web HD,Energía,7,747.53,5232.71,Freelancer
2024-01-24,Panel de Control Stream Deck,Componentes,2,289.09,578.18,Empresa B
2024-11-06,Micrófono Condensador,Energía,12,422.98,5075.76,Distribuidor D
2024-11-19,Teclado Mecánico,Redes,4,794.59,3178.36,Distribuidor D
2024-11-21,Tablet Samsung,Energía,9,832.43,7491.87,Distribuidor D
2024-09-12,Mochila para Laptop,Audio & Video,18,123.1,2215.8,Empresa A
2024-08-04,Cámara Web HD,Almacenamiento,18,688.7,12396.6,Freelancer
2024-03-17,Audífonos Bluetooth,Accesorios,18,221.48,3986.64,Empresa A
2024-09-09,Micrófono Condensador,Accesorios,11,31.22,343.42,Startup C
2024-04-13,Memoria RAM 16GB,Periféricos,17,312.07,5305.19,Empresa B
2024-05-04,Licencia Visual Studio,Software,17,134.12,2280.04,Startup C
2024-04-09,Impresora Láser,Componentes,14,587.66,8227.24,Distribuidor D
2024-08-19,Micrófono Condensador,Energía,20,258.82,5176.4,Distribuidor D
